"???"|"genderless"|"friends_other"|"no_villain"
"??? kwami"|"genderless"|"kwami"|"no_villain"
"1st Passenger"|"genderless"|"friends_other"|"no_villain"
"2nd Passenger"|"genderless"|"friends_other"|"no_villain"
"Adrien"|"male"|"main"|"no_villain"
"Adrien & Marinette"|"genderless"|"multiple"|"multiple"
"Adrien and Kagami"|"genderless"|"multiple"|"multiple"
"Adrien and Ladybug"|"genderless"|"multiple"|"multiple"
"Adrien and Luka"|"genderless"|"multiple"|"multiple"
"Adrien and Marinette"|"genderless"|"multiple"|"multiple"
"Adrien, Alya and Marinette"|"genderless"|"multiple"|"multiple"
"Adrien, Aurore & Mireille"|"genderless"|"multiple"|"multiple"
"Adrien, Luka, and Marinette"|"genderless"|"multiple"|"multiple"
"Adrien's bodyguard"|"male"|"friends_other"|"no_villain"
"Adrien's fans"|"genderless"|"friends_other"|"no_villain"
"Adrien's Headphones"|"genderless"|"friends_other"|"no_villain"
"Adrien's Phone"|"genderless"|"friends_other"|"no_villain"
"Adrien's voice recorder"|"genderless"|"friends_other"|"no_villain"
"Adrien's voicemail"|"genderless"|"friends_other"|"no_villain"
"Adrien's Voicemail"|"genderless"|"friends_other"|"no_villain"
"Akuma"|"genderless"|"villain"|"villain"
"Akumatized Ladybug Illusion"|"female"|"friends_other"|"no_villain"
"Alarm voice"|"genderless"|"friends_other"|"no_villain"
"Albert"|"male"|"friends_other"|"no_villain"
"Alec"|"male"|"friends_other"|"no_villain"
"Alec & Marlena"|"genderless"|"multiple"|"multiple"
"Alim Kubdel"|"male"|"friends_other"|"no_villain"
"Alix"|"female"|"friends_other"|"no_villain"
"Alix & Adrien"|"genderless"|"multiple"|"multiple"
"Alix, Kim, Max and Mr. Damocles"|"genderless"|"multiple"|"multiple"
"All"|"genderless"|"multiple"|"multiple"
"All Girls"|"female"|"multiple"|"multiple"
"All the girls except Marinette"|"female"|"multiple"|"multiple"
"All the infected Parisians"|"genderless"|"multiple"|"multiple"
"All Three"|"genderless"|"multiple"|"multiple"
"Alya"|"female"|"friends_other"|"no_villain"
"Alya & Marinette"|"genderless"|"multiple"|"multiple"
"Alya and Marinette"|"genderless"|"multiple"|"multiple"
"Alya and Nino"|"genderless"|"multiple"|"multiple"
"Alya and Rena Furtive"|"genderless"|"multiple"|"multiple"
"Alya Césaire"|"female"|"friends_other"|"no_villain"
"Alya, Rose, and Juleka"|"genderless"|"multiple"|"multiple"
"Alya, Rose, Juleka, and Mylène"|"genderless"|"multiple"|"multiple"
"Amelie"|"female"|"friends_other"|"no_villain"
"Anansi"|"female"|"villain"|"villain"
"Anarka"|"female"|"friends_other"|"no_villain"
"André"|"male"|"friends_other"|"no_villain"
"André and Audrey"|"genderless"|"multiple"|"multiple"
"André Bourgeois"|"male"|"friends_other"|"no_villain"
"André Glacier"|"male"|"friends_other"|"no_villain"
"André Heart Hunter"|"male"|"friends_other"|"no_villain"
"Animaestro"|"male"|"villain"|"villain"
"Animan"|"male"|"villain"|"villain"
"Anne-Jeanne"|"female"|"friends_other"|"no_villain"
"Announcement"|"male"|"friends_other"|"no_villain"
"Announcer"|"male"|"friends_other"|"no_villain"
"Antibug"|"female"|"villain"|"villain"
"App"|"genderless"|"friends_other"|"no_villain"
"Aqua Ladybug"|"female"|"friends_other"|"no_villain"
"Aqua Noir"|"male"|"friends_other"|"no_villain"
"Aquabug"|"female"|"friends_other"|"no_villain"
"Aquabug & Aqua Noir"|"genderless"|"multiple"|"multiple"
"Arlette"|"female"|"friends_other"|"no_villain"
"Armand"|"male"|"friends_other"|"no_villain"
"Aspik"|"male"|"friends_other"|"no_villain"
"Astro Cat"|"male"|"friends_other"|"no_villain"
"Audience"|"genderless"|"friends_other"|"no_villain"
"Audrey"|"female"|"friends_other"|"no_villain"
"Audrey and André Heart Hunter"|"genderless"|"multiple"|"multiple"
"Audrey Heart Hunter"|"male"|"friends_other"|"no_villain"
"August"|"male"|"friends_other"|"no_villain"
"August's mother"|"female"|"friends_other"|"no_villain"
"Aurore"|"female"|"friends_other"|"no_villain"
"Aurore Beauréal"|"female"|"friends_other"|"no_villain"
"Automated voice"|"genderless"|"friends_other"|"no_villain"
"Backwarder"|"male"|"villain"|"villain"
"Bakerix"|"male"|"villain"|"villain"
"Barkk"|"genderless"|"kwami"|"no_villain"
"Bear"|"genderless"|"kwami"|"no_villain"
"Bear kwami"|"genderless"|"kwami"|"no_villain"
"Beaver kwami"|"genderless"|"kwami"|"no_villain"
"Befana"|"female"|"villain"|"villain"
"Blue Knight In Movie"|"male"|"friends_other"|"no_villain"
"Bob"|"male"|"friends_other"|"no_villain"
"Bob Roth"|"male"|"friends_other"|"no_villain"
"Bodyguard"|"male"|"friends_other"|"no_villain"
"Both"|"genderless"|"friends_other"|"no_villain"
"Boy"|"male"|"friends_other"|"no_villain"
"Boy 1"|"male"|"friends_other"|"no_villain"
"Boy 2"|"male"|"friends_other"|"no_villain"
"Boys"|"male"|"multiple"|"multiple"
"Bubbler"|"male"|"villain"|"villain"
"Buffalo kwami"|"genderless"|"kwami"|"no_villain"
"Bunnyx"|"female"|"friends_other"|"no_villain"
"Bus driver"|"male"|"friends_other"|"no_villain"
"Bus Driver"|"male"|"friends_other"|"no_villain"
"Butler Jean"|"male"|"friends_other"|"no_villain"
"Bystander"|"male"|"friends_other"|"no_villain"
"Caline"|"female"|"friends_other"|"no_villain"
"Cameraman"|"male"|"friends_other"|"no_villain"
"Caprikid"|"male"|"friends_other"|"no_villain"
"Captain Hardrock"|"male"|"villain"|"villain"
"Captain Hessenpy"|"male"|"friends_other"|"no_villain"
"Carapace"|"male"|"friends_other"|"no_villain"
"Carapace, Ladybug and Cat Noir"|"genderless"|"multiple"|"multiple"
"Carapace, Pegasus, Vesperia and Pigella"|"genderless"|"multiple"|"multiple"
"Cat Blanc"|"male"|"villain"|"villain"
"Cat Noir"|"male"|"main"|"no_villain"
"Cat Noir and Alix"|"genderless"|"multiple"|"multiple"
"Cat Noir and Jagged"|"genderless"|"multiple"|"multiple"
"Cat Noir and Ladybug"|"genderless"|"multiple"|"multiple"
"Cat Noir and Marinette"|"genderless"|"multiple"|"multiple"
"Cat Noir and Rena Furtive"|"genderless"|"multiple"|"multiple"
"Cat Noir Illusion"|"male"|"friends_other"|"no_villain"
"Cat Noir's voice"|"genderless"|"friends_other"|"no_villain"
"Cat Noir's voicemail"|"genderless"|"friends_other"|"no_villain"
"Cat Walker"|"male"|"friends_other"|"no_villain"
"Catalyst"|"female"|"villain"|"villain"
"Chameleon"|"female"|"villain"|"villain"
"Cheeses"|"genderless"|"kwami"|"no_villain"
"Child"|"genderless"|"friends_other"|"no_villain"
"Child passenger"|"genderless"|"friends_other"|"no_villain"
"Children"|"genderless"|"friends_other"|"no_villain"
"Chloé"|"female"|"friends_other"|"no_villain"
"Chloé and Audrey"|"genderless"|"multiple"|"multiple"
"Chloé and Ladybug"|"genderless"|"multiple"|"multiple"
"Chloé and Marinette in unison"|"genderless"|"multiple"|"multiple"
"Chloé and Sabrina"|"genderless"|"multiple"|"multiple"
"Chorus"|"genderless"|"friends_other"|"no_villain"
"Chris"|"male"|"friends_other"|"no_villain"
"Christmaster"|"male"|"villain"|"villain"
"Citizen 1"|"genderless"|"friends_other"|"no_villain"
"Citizen 2"|"genderless"|"friends_other"|"no_villain"
"Citizen 3"|"genderless"|"friends_other"|"no_villain"
"Citizen 4"|"genderless"|"friends_other"|"no_villain"
"Civilian"|"genderless"|"friends_other"|"no_villain"
"Civilian #1"|"genderless"|"friends_other"|"no_villain"
"Civilian #2"|"genderless"|"friends_other"|"no_villain"
"Civilian #3"|"genderless"|"friends_other"|"no_villain"
"Civilian 1"|"genderless"|"friends_other"|"no_villain"
"Civilian 2"|"genderless"|"friends_other"|"no_villain"
"Civilians"|"genderless"|"friends_other"|"no_villain"
"Clara"|"female"|"friends_other"|"no_villain"
"Clara Contard"|"female"|"friends_other"|"no_villain"
"Clara, Cameraman, and pilot"|"genderless"|"multiple"|"multiple"
"Class"|"genderless"|"friends_other"|"no_villain"
"Classmates"|"genderless"|"friends_other"|"no_villain"
"Claudie"|"female"|"friends_other"|"no_villain"
"Collector"|"male"|"friends_other"|"no_villain"
"Colonel Woof-Woof"|"male"|"friends_other"|"no_villain"
"Commentator"|"male"|"friends_other"|"no_villain"
"Commercial voice"|"genderless"|"friends_other"|"no_villain"
"Commercial voice and Marinette"|"genderless"|"multiple"|"multiple"
"Commuter"|"genderless"|"friends_other"|"no_villain"
"Computer"|"genderless"|"friends_other"|"no_villain"
"Computer voice"|"genderless"|"friends_other"|"no_villain"
"Copycat"|"male"|"villain"|"villain"
"Cosmobug"|"female"|"friends_other"|"no_villain"
"Cosmobug and Astro Cat"|"genderless"|"multiple"|"multiple"
"Cucumber"|"genderless"|"friends_other"|"no_villain"
"Cyclist"|"male"|"friends_other"|"no_villain"
"Daizzi"|"genderless"|"kwami"|"no_villain"
"Dark Cupid"|"male"|"villain"|"villain"
"Dark Owl"|"male"|"villain"|"villain"
"Dark Owl"|"male"|"villain"|"villain"
"Darkblade"|"male"|"villain"|"villain"
"Dearest Family"|"genderless"|"friends_other"|"no_villain"
"Deer kwami"|"genderless"|"kwami"|"no_villain"
"Despair Bear"|"male"|"villain"|"villain"
"Desperada"|"female"|"villain"|"villain"
"Didier Roustan"|"male"|"friends_other"|"no_villain"
"Doctor"|"male"|"friends_other"|"no_villain"
"Doorman"|"male"|"friends_other"|"no_villain"
"Dormant Sentimonster"|"male"|"villain"|"villain"
"Dough"|"genderless"|"friends_other"|"no_villain"
"Dragon Bug"|"female"|"friends_other"|"no_villain"
"Duusu"|"genderless"|"kwami"|"no_villain"
"Ella"|"female"|"friends_other"|"no_villain"
"Ella and Etta"|"genderless"|"multiple"|"multiple"
"Ella, Etta, Manon, Chris"|"genderless"|"multiple"|"multiple"
"Ephemeral"|"male"|"villain"|"villain"
"Etta"|"female"|"friends_other"|"no_villain"
"Etta & Ella"|"genderless"|"multiple"|"multiple"
"Everyone"|"genderless"|"friends_other"|"no_villain"
"Everyone except Marinette"|"genderless"|"friends_other"|"no_villain"
"Evillustrator"|"male"|"friends_other"|"no_villain"
"Falcon kwami"|"genderless"|"kwami"|"no_villain"
"Fan"|"genderless"|"friends_other"|"no_villain"
"Fans"|"genderless"|"friends_other"|"no_villain"
"Feast"|"genderless"|"villain"|"villain"
"Félix"|"male"|"friends_other"|"no_villain"
"Female civilian"|"female"|"friends_other"|"no_villain"
"Female commercial voice"|"female"|"friends_other"|"no_villain"
"Fire captain"|"male"|"friends_other"|"no_villain"
"Firefighter"|"male"|"friends_other"|"no_villain"
"Firefighters"|"genderless"|"friends_other"|"no_villain"
"Fireman"|"male"|"friends_other"|"no_villain"
"Firetruck Driver"|"male"|"friends_other"|"no_villain"
"Flairmidable"|"male"|"friends_other"|"no_villain"
"Flashback Alya"|"female"|"friends_other"|"no_villain"
"Fleeing girl"|"female"|"friends_other"|"no_villain"
"Fluff"|"genderless"|"kwami"|"no_villain"
"Fred"|"male"|"friends_other"|"no_villain"
"Frightningale"|"female"|"villain"|"villain"
"Froggy"|"male"|"friends_other"|"no_villain"
"Froggy's Dad"|"male"|"friends_other"|"no_villain"
"Froggy's Mom"|"female"|"friends_other"|"no_villain"
"Frozer"|"male"|"villain"|"villain"
"Furious Fu"|"male"|"villain"|"villain"
"Future Alix"|"female"|"friends_other"|"no_villain"
"Future Ladybug"|"female"|"friends_other"|"no_villain"
"Gabriel"|"male"|"friends_other"|"no_villain"
"Gabriel's voicemail"|"genderless"|"friends_other"|"no_villain"
"Game Voice"|"male"|"friends_other"|"no_villain"
"Game Voice"|"genderless"|"friends_other"|"no_villain"
"Gamer"|"male"|"villain"|"villain"
"Gamer 2.0"|"male"|"villain"|"villain"
"Gamer 2.0"|"male"|"villain"|"villain"
"Gang of Secrets"|"genderless"|"friends_other"|"no_villain"
"Ghosts of The Guardians"|"genderless"|"friends_other"|"no_villain"
"Gigantian"|"male"|"villain"|"villain"
"Gigantitan"|"male"|"villain"|"villain"
"Gilbert"|"male"|"friends_other"|"no_villain"
"Gina"|"female"|"friends_other"|"no_villain"
"Girl"|"female"|"friends_other"|"no_villain"
"Girls"|"female"|"multiple"|"multiple"
"Glaciator"|"male"|"villain"|"villain"
"Goose kwami"|"genderless"|"kwami"|"no_villain"
"Gorizilla"|"male"|"villain"|"villain"
"GPS voice"|"genderless"|"friends_other"|"no_villain"
"Guard 1"|"male"|"friends_other"|"no_villain"
"Guard 2"|"male"|"friends_other"|"no_villain"
"Guard 3"|"male"|"friends_other"|"no_villain"
"Guards"|"genderless"|"friends_other"|"no_villain"
"Guards 1"|"genderless"|"friends_other"|"no_villain"
"Guards 2"|"genderless"|"friends_other"|"no_villain"
"Guards in helicopter"|"genderless"|"friends_other"|"no_villain"
"Guitar Villain"|"male"|"villain"|"villain"
"Harry"|"male"|"friends_other"|"no_villain"
"Harry and Marinette"|"genderless"|"multiple"|"multiple"
"Hawk Moth"|"male"|"villain"|"villain"
"Helicopter Pilot"|"male"|"friends_other"|"no_villain"
"Heroes"|"genderless"|"friends_other"|"no_villain"
"Hessenpy"|"male"|"friends_other"|"no_villain"
"Horrificator"|"female"|"villain"|"villain"
"Icecat"|"male"|"friends_other"|"no_villain"
"Ikari Gozen"|"female"|"villain"|"villain"
"Italian couple"|"genderless"|"friends_other"|"no_villain"
"Ivan"|"male"|"friends_other"|"no_villain"
"Ivan, Mylène, Sabrina"|"genderless"|"multiple"|"multiple"
"Jade Turtle"|"male"|"friends_other"|"no_villain"
"Jagged"|"male"|"friends_other"|"no_villain"
"Jagged Stone"|"male"|"friends_other"|"no_villain"
"Jalil"|"male"|"friends_other"|"no_villain"
"Jean"|"male"|"friends_other"|"no_villain"
"Jean Duparc"|"male"|"friends_other"|"no_villain"
"Jean Tretiens"|"male"|"friends_other"|"no_villain"
"Jean-Pierre"|"male"|"friends_other"|"no_villain"
"Jeanne d'Arc"|"female"|"friends_other"|"no_villain"
"Journalist"|"genderless"|"friends_other"|"no_villain"
"Juleka"|"female"|"friends_other"|"no_villain"
"Juleka & Luka"|"genderless"|"multiple"|"multiple"
"Juleka & Rose"|"genderless"|"multiple"|"multiple"
"Juleka and Luka"|"genderless"|"multiple"|"multiple"
"Juleka, Rose, and Alya"|"genderless"|"multiple"|"multiple"
"Kaalki"|"genderless"|"kwami"|"no_villain"
"Kagami"|"female"|"friends_other"|"no_villain"
"Kid"|"genderless"|"friends_other"|"no_villain"
"Kid 1"|"genderless"|"friends_other"|"no_villain"
"Kid 2"|"genderless"|"friends_other"|"no_villain"
"Kid Passenger"|"genderless"|"friends_other"|"no_villain"
"Kid's Father"|"male"|"friends_other"|"no_villain"
"Kids"|"genderless"|"friends_other"|"no_villain"
"Kids and Teen"|"genderless"|"multiple"|"multiple"
"Kim"|"male"|"friends_other"|"no_villain"
"King Monkey"|"male"|"friends_other"|"no_villain"
"Knight"|"male"|"friends_other"|"no_villain"
"Knights"|"genderless"|"friends_other"|"no_villain"
"Kung Food"|"male"|"villain"|"villain"
"kwamibuster"|"male"|"villain"|"villain"
"kwamis"|"genderless"|"kwami"|"no_villain"
"Kwamis"|"genderless"|"friends_other"|"no_villain"
"Lady Bee"|"female"|"friends_other"|"no_villain"
"Lady Noire"|"female"|"friends_other"|"no_villain"
"Lady Noire"|"female"|"friends_other"|"no_villain"
"Lady Noire & Mister Bug"|"genderless"|"multiple"|"multiple"
"Lady Wifi"|"female"|"villain"|"villain"
"Ladybug"|"female"|"main"|"no_villain"
"Ladybug & Cat Noir"|"genderless"|"multiple"|"multiple"
"Ladybug and Alya"|"genderless"|"multiple"|"multiple"
"Ladybug and Carapace"|"genderless"|"multiple"|"multiple"
"Ladybug and Cat Noir"|"genderless"|"multiple"|"multiple"
"Ladybug and Cat Walker"|"genderless"|"multiple"|"multiple"
"Ladybug and Flairmidable"|"genderless"|"multiple"|"multiple"
"Ladybug and Plagg"|"genderless"|"multiple"|"multiple"
"Ladybug and Su-Han"|"genderless"|"multiple"|"multiple"
"Ladybug and the kids"|"genderless"|"multiple"|"multiple"
"Ladybug from 10 minutes"|"female"|"friends_other"|"no_villain"
"Ladybug, Cat Noir and Alix"|"genderless"|"multiple"|"multiple"
"Ladybug, Cat Noir and Marianne"|"genderless"|"multiple"|"multiple"
"Ladybug, Cat Noir and Pigella"|"genderless"|"multiple"|"multiple"
"Ladybug, Cat Noir, & Master Fu"|"genderless"|"multiple"|"multiple"
"Ladybug, Cat Noir, & Purple Tigress"|"genderless"|"multiple"|"multiple"
"Ladybug, Cat Noir, & Viperion"|"genderless"|"multiple"|"multiple"
"Ladybug, Cat Noir, and Alya"|"genderless"|"multiple"|"multiple"
"Ladybug, Cat Noir, and Marianne"|"genderless"|"multiple"|"multiple"
"Ladybug, Cat Noir, and Rena Rouge"|"genderless"|"multiple"|"multiple"
"Ladybug, Cat Noir, and Santa Claus"|"genderless"|"multiple"|"multiple"
"Ladybug, Cat Noir, and Viperion"|"genderless"|"multiple"|"multiple"
"Ladybug, Rena Rouge and Senticarapace"|"genderless"|"multiple"|"multiple"
"Ladybug, Rena Rouge, and Cat Noir"|"genderless"|"multiple"|"multiple"
"Ladybug, Ryuko, Polymouse, King Monkey and Purple Tigress"|"genderless"|"multiple"|"multiple"
"Ladybugs"|"female"|"friends_other"|"no_villain"
"Ladyice"|"female"|"friends_other"|"no_villain"
"Ladyice & Cat Noir"|"genderless"|"multiple"|"multiple"
"Lies"|"female"|"villain"|"villain"
"Liiri"|"genderless"|"kwami"|"no_villain"
"Lila"|"female"|"friends_other"|"no_villain"
"Lila's Mother"|"female"|"friends_other"|"no_villain"
"Lila's mother"|"female"|"friends_other"|"no_villain"
"Little Girl"|"female"|"friends_other"|"no_villain"
"Longg"|"genderless"|"kwami"|"no_villain"
"Lucky Charm Sequence Ladybug"|"female"|"friends_other"|"no_villain"
"Luka"|"male"|"friends_other"|"no_villain"
"Luka and Jagged"|"genderless"|"multiple"|"multiple"
"Malediktator"|"male"|"villain"|"villain"
"Man"|"male"|"friends_other"|"no_villain"
"Man on the TV"|"male"|"friends_other"|"no_villain"
"Man with a red beret"|"male"|"friends_other"|"no_villain"
"Manon"|"male"|"friends_other"|"no_villain"
"Manon Chamack"|"male"|"friends_other"|"no_villain"
"Manon, Chris, Ella and Etta"|"genderless"|"multiple"|"multiple"
"Manon, Ella, Etta and Chris"|"genderless"|"multiple"|"multiple"
"Marc"|"male"|"friends_other"|"no_villain"
"Marc and Nathaniel"|"genderless"|"multiple"|"multiple"
"Marianne"|"female"|"friends_other"|"no_villain"
"Marinanne"|"female"|"friends_other"|"no_villain"
"Marinette"|"female"|"main"|"no_villain"
"Marinette and Adrien"|"genderless"|"multiple"|"multiple"
"Marinette and her classmates, sans Chloé"|"genderless"|"multiple"|"multiple"
"Marinette and Lila"|"genderless"|"multiple"|"multiple"
"Marinette and Nino"|"genderless"|"multiple"|"multiple"
"Marinette and Tikki"|"genderless"|"multiple"|"multiple"
"Marinette Dupain-Cheng"|"female"|"friends_other"|"no_villain"
"Marinette Illusion"|"female"|"friends_other"|"no_villain"
"Marinette, Alya and Nino"|"genderless"|"multiple"|"multiple"
"Marinette, Alya, and Max"|"genderless"|"multiple"|"multiple"
"Marinette, Nino, & Alya"|"genderless"|"multiple"|"multiple"
"Marinette's phone"|"genderless"|"friends_other"|"no_villain"
"Marinette's voicemail"|"genderless"|"friends_other"|"no_villain"
"Markov"|"male"|"friends_other"|"no_villain"
"Marlena"|"female"|"friends_other"|"no_villain"
"Master Fu"|"male"|"friends_other"|"no_villain"
"Max"|"male"|"friends_other"|"no_villain"
"Max and Kim"|"genderless"|"multiple"|"multiple"
"Max, Ladybug, and Cat Noir"|"genderless"|"multiple"|"multiple"
"Mayor"|"male"|"friends_other"|"no_villain"
"Mayor Bourgeois"|"male"|"friends_other"|"no_villain"
"Mayura"|"female"|"friends_other"|"no_villain"
"Mechatiger"|"male"|"friends_other"|"no_villain"
"Mini-Malediktator"|"male"|"friends_other"|"no_villain"
"Minotaurox"|"male"|"friends_other"|"no_villain"
"Miracle Queen"|"female"|"villain"|"villain"
"Miraculer"|"female"|"villain"|"villain"
"Mireille"|"female"|"friends_other"|"no_villain"
"Miss Bustier"|"female"|"friends_other"|"no_villain"
"Miss Bustier's class"|"genderless"|"friends_other"|"no_villain"
"Miss Hound"|"female"|"friends_other"|"no_villain"
"Mister Bug"|"male"|"friends_other"|"no_villain"
"Moolak"|"male"|"villain"|"villain"
"Mother"|"female"|"friends_other"|"no_villain"
"Movie"|"genderless"|"friends_other"|"no_villain"
"Movie patron"|"genderless"|"friends_other"|"no_villain"
"Mr. Banana"|"male"|"friends_other"|"no_villain"
"Mr. Bourgeois"|"male"|"friends_other"|"no_villain"
"Mr. D'Argencourt"|"male"|"friends_other"|"no_villain"
"Mr. Damocles"|"male"|"friends_other"|"no_villain"
"Mr. Kubdel"|"male"|"friends_other"|"no_villain"
"Mr. Pigeon"|"male"|"villain"|"villain"
"Mr. Ramier"|"male"|"friends_other"|"no_villain"
"Mrs. Michelle"|"female"|"friends_other"|"no_villain"
"Mrs. Tsurugi"|"female"|"friends_other"|"no_villain"
"Ms. Bustier"|"female"|"friends_other"|"no_villain"
"Ms. Chamack"|"female"|"friends_other"|"no_villain"
"Ms. Lenoir"|"female"|"friends_other"|"no_villain"
"Ms. Mendeleiev"|"female"|"friends_other"|"no_villain"
"Ms. Mendeleiev's class"|"female"|"friends_other"|"no_villain"
"Mullo"|"genderless"|"kwami"|"no_villain"
"Multimouse"|"female"|"friends_other"|"no_villain"
"Mummies"|"genderless"|"friends_other"|"no_villain"
"Museum employee"|"genderless"|"friends_other"|"no_villain"
"Mylène"|"female"|"friends_other"|"no_villain"
"Nadja"|"female"|"friends_other"|"no_villain"
"Nadja Chamack"|"female"|"friends_other"|"no_villain"
"Nate and Marc"|"genderless"|"multiple"|"multiple"
"Nathalie"|"female"|"friends_other"|"no_villain"
"Nathaniel"|"female"|"friends_other"|"no_villain"
"Nazi"|"male"|"friends_other"|"no_villain"
"Nightmare Adrien"|"male"|"friends_other"|"no_villain"
"Nightmare Adrien"|"male"|"friends_other"|"no_villain"
"Nightmare Ladybug"|"female"|"friends_other"|"no_villain"
"Nino"|"male"|"friends_other"|"no_villain"
