"Mylène"|-0.679672241210938|0|"1"|"17"|"Antibug"
"Nadja"|0.0371125712990761|0.07675|"1"|"17"|"Antibug"
"Nadja Chamack"|-0.658859997987747|0.483|"1"|"17"|"Antibug"
"Reporters"|-0.493946671485901|0|"1"|"17"|"Antibug"
"Sabrina"|-0.0202947676181793|0.153|"1"|"17"|"Antibug"
"Tikki"|-0.0349080935120583|0.22875|"1"|"17"|"Antibug"
"Vanisher"|-0.35137123295239|0.0611428571428571|"1"|"17"|"Antibug"
"Adrien"|-0.0499781280755997|0.2007|"3"|"53"|"Backwarder"
"Alix"|-0.297678496688604|-0.268|"3"|"53"|"Backwarder"
"Alya"|-0.166386107603709|-0.00433333333333333|"3"|"53"|"Backwarder"
"Announcer"|-0.0517404079437256|0.077|"3"|"53"|"Backwarder"
"Backwarder"|-0.245674327015877|-0.0171428571428571|"3"|"53"|"Backwarder"
"Boy 1"|0.327776312828064|-0.224|"3"|"53"|"Backwarder"
"Boy 2"|0.380981087684631|-0.224|"3"|"53"|"Backwarder"
"Boys"|-0.249628901481628|0|"3"|"53"|"Backwarder"
"Cat Noir"|-0.116305804914898|0.233722222222222|"3"|"53"|"Backwarder"
"Doctor"|-0.0844650069872538|0.101666666666667|"3"|"53"|"Backwarder"
"Gabriel"|-0.143870928457805|0.107428571428571|"3"|"53"|"Backwarder"
"Hawk Moth"|0.312483602099948|0.097|"3"|"53"|"Backwarder"
"Juleka"|0.206787109375|0.318|"3"|"53"|"Backwarder"
"Ladybug"|-0.103019573858806|0.220607142857143|"3"|"53"|"Backwarder"
"Ladybug & Cat Noir"|-0.271977782249451|0|"3"|"53"|"Backwarder"
"Marianne"|0.274033665657043|-0.07|"3"|"53"|"Backwarder"
"Marinette"|-0.0288052853000791|0.0891842105263158|"3"|"53"|"Backwarder"
"Master Fu"|-0.0454867449071672|0.1565|"3"|"53"|"Backwarder"
"Mr. Ramier"|0.24028335014979|0.0536666666666667|"3"|"53"|"Backwarder"
"Mrs. Tsurugi"|-0.202642008662224|-0.4985|"3"|"53"|"Backwarder"
"Ms. Lenoir"|-0.0200363970719851|0.194384615384615|"3"|"53"|"Backwarder"
"Mylène"|0.213537603616714|-0.0065|"3"|"53"|"Backwarder"
"Nadja Chamack"|0.308639645576477|0|"3"|"53"|"Backwarder"
"Nazi"|0.241373658180237|0|"3"|"53"|"Backwarder"
"Passenger"|-0.670963227748871|0.309|"3"|"53"|"Backwarder"
"Pharmacist"|0.170322060585022|0.483|"3"|"53"|"Backwarder"
"Plagg"|-0.44935941696167|0|"3"|"53"|"Backwarder"
"Rose"|0.251353805263837|0.276666666666667|"3"|"53"|"Backwarder"
"Tikki"|0.00932928671439489|-0.144333333333333|"3"|"53"|"Backwarder"
"Train conductor"|-0.332447012265523|0.0696666666666667|"3"|"53"|"Backwarder"
"Wayzz"|-0.17084226757288|-0.6655|"3"|"53"|"Backwarder"
"Adrien"|-0.0564495325088501|0.1805|"3"|"57"|"Bakerix"
"Alya"|-0.505057200789452|0|"3"|"57"|"Bakerix"
"André"|-0.587292939424515|0|"3"|"57"|"Bakerix"
"Bakerix"|-0.496244853569402|-0.0456111111111111|"3"|"57"|"Bakerix"
"Bus Driver"|-0.33920955657959|0.273|"3"|"57"|"Bakerix"
"Cat Noir"|0.0346543302661494|0.169105263157895|"3"|"57"|"Bakerix"
"Chloé"|0.18863844871521|0.402|"3"|"57"|"Bakerix"
"Gilbert"|0.431060284376144|0.1005|"3"|"57"|"Bakerix"
"Gina"|0.452725291252136|0.401|"3"|"57"|"Bakerix"
"Hawk Moth"|0.00524739176034927|0.03525|"3"|"57"|"Bakerix"
"Ladybug"|-0.0161672547459602|0.22775|"3"|"57"|"Bakerix"
"Ladybug and Cat Noir"|-0.271977782249451|0|"3"|"57"|"Bakerix"
"Marinette"|0.0541153497272922|0.172338709677419|"3"|"57"|"Bakerix"
"Nadja"|-0.64599472284317|-0.599|"3"|"57"|"Bakerix"
"Nino"|0.400077104568481|0.44|"3"|"57"|"Bakerix"
"Rolland"|-0.177298586964607|0.0722|"3"|"57"|"Bakerix"
"Rolland and Marinette"|-0.660163268446922|0|"3"|"57"|"Bakerix"
"Sabine"|-0.243545255490712|0.0612857142857143|"3"|"57"|"Bakerix"
"Tikki"|0.162799381547504|0.195333333333333|"3"|"57"|"Bakerix"
"Tom"|0.125487357378006|0.324|"3"|"57"|"Bakerix"
"Adrien"|-0.0263146410385768|0.4285|"2"|"31"|"Befana"
"Alya"|-0.054596734046936|0.2278|"2"|"31"|"Befana"
"André"|0.376638412475586|0.7|"2"|"31"|"Befana"
"Befana"|-0.228603729430367|0.0561470588235294|"2"|"31"|"Befana"
"Cat Noir"|-0.242165056498427|0.0931578947368421|"2"|"31"|"Befana"
"Gina"|0.0907824886472602|0.286263157894737|"2"|"31"|"Befana"
"Hawk Moth"|-0.00260890126228333|0.1828|"2"|"31"|"Befana"
"Juleka"|-0.175793766975403|0.318|"2"|"31"|"Befana"
"Ladybug"|-0.299579217036565|0.0116666666666667|"2"|"31"|"Befana"
"Ladybug and Cat Noir"|-0.271977782249451|0|"2"|"31"|"Befana"
"Marinette"|-0.0450876396894455|0.29412|"2"|"31"|"Befana"
"Max"|-0.637713193893433|0.471|"2"|"31"|"Befana"
"Plagg"|-0.744587481021881|0|"2"|"31"|"Befana"
"Rose"|-0.602117478847504|0.584|"2"|"31"|"Befana"
"Sabine"|-0.204916441982443|0.189272727272727|"2"|"31"|"Befana"
"Tikki"|0.108631259865231|0.192277777777778|"2"|"31"|"Befana"
"Tom"|-0.149502965311209|0.100916666666667|"2"|"31"|"Befana"
"Adrien"|0.129728698730469|0.442666666666667|"2"|"39"|"Captain Hardrock"
"Alya"|-0.208841377496719|0.1061|"2"|"39"|"Captain Hardrock"
"Anarka"|-0.108570859829585|0.351133333333333|"2"|"39"|"Captain Hardrock"
"André"|0.563352942466736|0.519|"2"|"39"|"Captain Hardrock"
"Captain Hardrock"|-0.024252716700236|0.0404|"2"|"39"|"Captain Hardrock"
"Cat Noir"|-0.143680344025294|0.00422222222222222|"2"|"39"|"Captain Hardrock"
"Gabriel"|-0.216193908452988|0.2024|"2"|"39"|"Captain Hardrock"
"Hawk Moth"|0.0411131829023361|0.6735|"2"|"39"|"Captain Hardrock"
"Ivan"|-0.694240421056747|0.338|"2"|"39"|"Captain Hardrock"
"Juleka"|-0.416328847408295|0|"2"|"39"|"Captain Hardrock"
"Ladybug"|-0.121383389601341|-0.0423846153846154|"2"|"39"|"Captain Hardrock"
"Ladybug and Cat Noir"|-0.271977782249451|0|"2"|"39"|"Captain Hardrock"
"Luka"|0.175899797677994|0.379933333333333|"2"|"39"|"Captain Hardrock"
"Marinette"|-0.109147977828979|0.0654|"2"|"39"|"Captain Hardrock"
"Mylène"|0.396199703216553|0|"2"|"39"|"Captain Hardrock"
"Nadja"|0.200268864631653|0.278333333333333|"2"|"39"|"Captain Hardrock"
"Nino"|-0.349669287602107|0.352|"2"|"39"|"Captain Hardrock"
"Plagg"|0.189494885504246|0.393|"2"|"39"|"Captain Hardrock"
"Roger"|-0.176987069348494|-0.05575|"2"|"39"|"Captain Hardrock"
"Rose"|0.292221128940582|0.469333333333333|"2"|"39"|"Captain Hardrock"
"Tikki"|-0.259754955768585|0|"2"|"39"|"Captain Hardrock"
"Adrien"|-0.125142326205969|0.18355|"3"|"73"|"Cat Blanc"
"Alix"|-0.302760004997253|0.3635|"3"|"73"|"Cat Blanc"
"All the girls except Marinette"|0.165584683418274|0|"3"|"73"|"Cat Blanc"
"Alya"|0.475610375404358|0.172285714285714|"3"|"73"|"Cat Blanc"
"Alya, Rose, and Juleka"|-0.666009604930878|0|"3"|"73"|"Cat Blanc"
"Alya, Rose, Juleka, and Mylène"|-0.568183451890945|0|"3"|"73"|"Cat Blanc"
"Bunnyx"|-0.102405627568563|0.0362916666666667|"3"|"73"|"Cat Blanc"
"Cat Blanc"|-0.196263702292191|0.0808421052631579|"3"|"73"|"Cat Blanc"
"Cat Noir"|-0.381061775485675|-0.0558666666666667|"3"|"73"|"Cat Blanc"
"Chloé"|-0.769710853695869|-0.679|"3"|"73"|"Cat Blanc"
"Gabriel"|-0.118036061525345|-0.278|"3"|"73"|"Cat Blanc"
"Hawk Moth"|0.171116468310356|0.1654|"3"|"73"|"Cat Blanc"
"Ladybug"|-0.148452831262892|-0.00704545454545455|"3"|"73"|"Cat Blanc"
"Ladybug from 10 minutes"|0.364058971405029|0|"3"|"73"|"Cat Blanc"
"Marinette"|-0.365518534183502|0.08095|"3"|"73"|"Cat Blanc"
"Mylène"|0.150342086950938|0|"3"|"73"|"Cat Blanc"
"Nadja"|-0.662488669157028|-0.572|"3"|"73"|"Cat Blanc"
"Nathalie"|-0.189006224274635|-0.0493333333333333|"3"|"73"|"Cat Blanc"
"Plagg"|-0.413233584165573|0.1688|"3"|"73"|"Cat Blanc"
"Rose"|0.157523214817047|0.5885|"3"|"73"|"Cat Blanc"
"Tikki"|-0.0588188866774241|0.056|"3"|"73"|"Cat Blanc"
"Tom"|-0.245749413967133|0.3785|"3"|"73"|"Cat Blanc"
"Adrien"|0.0269008709324731|0.122111111111111|"2"|"51"|"Catalyst"
"Akumatized Ladybug Illusion"|-0.209612265229225|0.227166666666667|"2"|"51"|"Catalyst"
"Alya"|0.22760558873415|0.264|"2"|"51"|"Catalyst"
"Carapace"|-0.0156721174716949|-0.148|"2"|"51"|"Catalyst"
"Cat Noir"|-0.0803263902664185|0.1319|"2"|"51"|"Catalyst"
"Cat Noir Illusion"|-0.248347808917363|0.297666666666667|"2"|"51"|"Catalyst"
"Catalyst"|0.462939620018005|0.556|"2"|"51"|"Catalyst"
"Chloé"|0.0355063676834106|0.115555555555556|"2"|"51"|"Catalyst"
"Clara"|-0.732113867998123|-0.25|"2"|"51"|"Catalyst"
"Clara Contard"|0.437400758266449|0.2375|"2"|"51"|"Catalyst"
"Class"|-0.384434133768082|0|"2"|"51"|"Catalyst"
