"Character"|"Sentiment_s1_ep_1"|"Sentiment_s1_ep_2"|"Sentiment_s1_ep_3"|"Sentiment_s1_ep_4"|"Sentiment_s1_ep_5"|"Sentiment_s1_ep_6"|"Sentiment_s1_ep_7"|"Sentiment_s1_ep_8"|"Sentiment_s1_ep_9"|"Sentiment_s1_ep_10"|"Sentiment_s1_ep_11"|"Sentiment_s1_ep_12"|"Sentiment_s1_ep_13"|"Sentiment_s1_ep_14"|"Sentiment_s1_ep_15"|"Sentiment_s1_ep_16"|"Sentiment_s1_ep_17"|"Sentiment_s1_ep_18"|"Sentiment_s1_ep_19"|"Sentiment_s1_ep_20"|"Sentiment_s1_ep_21"|"Sentiment_s1_ep_22"|"Sentiment_s1_ep_23"|"Sentiment_s1_ep_24"|"Sentiment_s1_ep_25"|"Sentiment_s1_ep_26"|"Sentiment_s2_ep_27"|"Sentiment_s2_ep_28"|"Sentiment_s2_ep_29"|"Sentiment_s2_ep_30"|"Sentiment_s2_ep_31"|"Sentiment_s2_ep_32"|"Sentiment_s2_ep_33"|"Sentiment_s2_ep_34"|"Sentiment_s2_ep_35"|"Sentiment_s2_ep_36"|"Sentiment_s2_ep_37"|"Sentiment_s2_ep_38"|"Sentiment_s2_ep_39"|"Sentiment_s2_ep_40"|"Sentiment_s2_ep_41"|"Sentiment_s2_ep_42"|"Sentiment_s2_ep_43"|"Sentiment_s2_ep_44"|"Sentiment_s2_ep_45"|"Sentiment_s2_ep_46"|"Sentiment_s2_ep_47"|"Sentiment_s2_ep_48"|"Sentiment_s2_ep_49"|"Sentiment_s2_ep_50"|"Sentiment_s2_ep_51"|"Sentiment_s2_ep_52"|"Sentiment_s3_ep_53"|"Sentiment_s3_ep_54"|"Sentiment_s3_ep_55"|"Sentiment_s3_ep_56"|"Sentiment_s3_ep_57"|"Sentiment_s3_ep_58"|"Sentiment_s3_ep_59"|"Sentiment_s3_ep_60"|"Sentiment_s3_ep_61"|"Sentiment_s3_ep_62"|"Sentiment_s3_ep_63"|"Sentiment_s3_ep_64"|"Sentiment_s3_ep_65"|"Sentiment_s3_ep_66"|"Sentiment_s3_ep_67"|"Sentiment_s3_ep_68"|"Sentiment_s3_ep_69"|"Sentiment_s3_ep_70"|"Sentiment_s3_ep_71"|"Sentiment_s3_ep_72"|"Sentiment_s3_ep_73"|"Sentiment_s3_ep_74"|"Sentiment_s3_ep_75"|"Sentiment_s3_ep_76"|"Sentiment_s3_ep_77"|"Sentiment_s3_ep_78"|"Sentiment_s4_ep_79"|"Sentiment_s4_ep_80"|"Sentiment_s4_ep_81"|"Sentiment_s4_ep_82"|"Sentiment_s4_ep_83"|"Sentiment_s4_ep_84"|"Sentiment_s4_ep_85"|"Sentiment_s4_ep_86"|"Sentiment_s4_ep_87"|"Sentiment_s4_ep_88"|"Sentiment_s4_ep_89"|"Sentiment_s4_ep_90"|"Sentiment_s4_ep_91"|"Sentiment_s4_ep_92"|"Sentiment_s4_ep_93"|"Sentiment_s4_ep_94"|"Sentiment_s4_ep_95"|"Sentiment_s4_ep_96"|"Sentiment_s4_ep_97"|"Sentiment_s4_ep_98"|"Sentiment_s4_ep_99"|"Sentiment_s4_ep_100"|"Sentiment_s4_ep_101"|"Sentiment_s4_ep_102"|"Sentiment_s4_ep_103"|"Sentiment_s4_ep_104"|"Gender"|"Role"|"Role_Category"
"Adrien, Alya and Marinette"|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|-0.612575769424438|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|"genderless"|"multiple"|"multiple"
"Adrien, Aurore & Mireille"|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|0.392838597297668|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|"genderless"|"multiple"|"multiple"
"Adrien, Luka, and Marinette"|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|-0.350715756416321|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|"genderless"|"multiple"|"multiple"
"Adrien, Nino, and Alya"|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|0.363491415977478|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|"genderless"|"friends_other"|"multiple"
"Adrien's bodyguard"|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|-0.560151398181915|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|"male"|"friends_other"|"no_villain"
"Adrien's fans"|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|-0.0288545191287994|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|"genderless"|"friends_other"|"no_villain"
"Adrien's Headphones"|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|0.558424353599548|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|"genderless"|"friends_other"|"no_villain"
"Adrien's Phone"|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|-0.744117498397827|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|"genderless"|"friends_other"|"no_villain"
"Adrien's voice recorder"|NA|NA|NA|NA|NA|NA|NA|NA|0.15326714515686|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|"genderless"|"friends_other"|"no_villain"
"Adrien's voicemail"|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|-0.169015944004059|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|"genderless"|"friends_other"|"no_villain"
